Nombre,Equipo,MP,FG,FGA,FG3,FG3A,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,G,PER
Aaron Gordon,Denver Nuggets,650,103,206,17,64,31,44,38,80,56,17,14,30,40,254,25,16.39
Aaron Gordon,Orlando Magic,737,128,293,42,112,66,105,39,127,105,16,20,67,49,364,25,17.97
Aaron Holiday,Indiana Pacers,1176,170,436,67,182,68,83,15,74,123,46,13,66,94,475,66,12.15
Aaron Nesmith,Boston Celtics,665,78,178,40,108,22,28,28,99,23,15,9,23,87,218,46,11.34
Abdel Nader,Phoenix Suns,353,57,116,18,43,28,37,7,55,19,10,9,19,34,160,24,16.07
Adam Mokoka,Chicago Bulls,56,7,19,1,10,0,1,1,4,5,2,1,5,5,15,14,4.03
Al Horford,Oklahoma City Thunder,782,162,360,56,152,18,22,29,159,94,25,26,29,48,398,28,21.14
Al-Farouq Aminu,Chicago Bulls,66,2,10,1,6,4,5,2,17,2,2,0,3,7,9,6,4.56
Al-Farouq Aminu,Orlando Magic,367,36,89,7,31,14,17,20,71,29,17,9,25,22,93,17,11.86
Alec Burks,New York Knicks,1252,210,500,102,246,101,118,21,206,107,31,14,49,102,623,49,17.36
Aleksej Pokusevski,Oklahoma City Thunder,1087,139,408,58,207,31,42,30,182,97,20,42,99,58,367,45,8.5
Alen Smailagić,Golden State Warriors,83,11,27,4,10,2,6,6,10,4,3,5,5,11,28,15,11.55
Alex Caruso,Los Angeles Lakers,1219,133,305,55,137,49,76,31,139,160,64,15,76,108,370,58,13.27
Alex Len,Toronto Raptors,77,5,10,3,6,3,6,0,11,3,1,6,8,10,16,7,5.47
Alex Len,Washington Wizards,903,166,268,5,19,70,110,78,171,46,19,58,47,117,407,57,20.95
Alfonzo McKinnie,Los Angeles Lakers,258,48,93,16,39,10,18,22,32,6,7,0,5,26,122,39,18.21
Alize Johnson,Brooklyn Nets,186,40,68,1,6,13,13,27,63,14,5,5,9,16,94,18,27.83
Amida Brimah,Indiana Pacers,30,5,8,0,0,3,3,2,6,1,0,5,4,4,13,5,18.85
Amir Coffey,Los Angeles Clippers,393,45,103,23,56,27,38,10,34,22,10,0,15,30,140,44,11.95
Anderson Varejão,Cleveland Cavaliers,36,4,16,0,1,5,9,7,13,3,0,2,1,3,13,5,15.83
Andre Drummond,Cleveland Cavaliers,721,180,380,0,8,77,129,101,236,64,40,29,81,69,437,25,24.38
Andre Drummond,Los Angeles Lakers,520,102,192,0,0,46,76,65,149,30,23,20,43,80,250,21,20.96
Andre Iguodala,Miami Heat,1337,95,248,60,182,25,38,38,183,142,57,35,67,90,275,63,10.9
Andre Roberson,Brooklyn Nets,63,2,14,1,8,1,2,7,8,4,3,1,2,4,6,5,5.32
